OPDTag,OurTag
"1","1Sg/Excl"
"1s","1Sg"
"1p","Excl"
"2","2Sg/2Pl"
"2s","2Sg"
"2p","2Pl"
"21p","Incl"
"3","3SgProx/3PlProx"
"3'","3SgObv/3PlObv"
"3's","3SgObv"
"3'p","3PlObv"
"3s","3SgProx"
"3p","3PlProx"
"0s","0Sg"
"0","0Sg/0Pl"
"0'","0SgObv/0PlObv"
"0's","0SgObv"
"X","X"
